index,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
9214,DYNAStY wArriors 7: EmPiREs,PS3,2012,aCtION,ubisoft annecy,0.0,0.0,0.14,0.0,0.14,63.0,20.0,8,22.0,Omega Force,T
9215,SUPER pUzZle fIGHTER iI TuRbO,PS,1996,puzZLE,virgin interactive,0.08,0.05,0.0,0.01,0.14,83.0,9.0,7.4,5.0,Capcom,E
9216,STAr warS: jEDi PoweR battLES,GBA,2002,aCtIon,thq,0.1,0.04,0.0,0.0,0.14,58.0,8.0,tbd,,HotGen,T
9217,scENE iT? bRIGht LiGhTS! bIg sCReen!,Wii,2009,MIsc,warner bros. interactive entertainment,0.13,0.0,0.0,0.01,0.14,,,,,,
9218,ultImatE musCLe - tHe KiNnikuMAN LEgAcy: legeNdS Vs NEW GEnERAtion,GC,2002,fightiNg,namco bandai games,0.04,0.01,0.08,0.0,0.14,,,,,,
9219,BEjewEled 3,X360,,PuzzLE,unknown,0.13,0.0,0.0,0.01,0.14,78.0,13.0,8.4,11.0,PopCap,E
9220,SPAcE VENuS sTarrInG mORning MusUMe,PS2,2001,mIsc,sony music entertainment,0.0,0.0,0.14,0.0,0.14,,,,,,
9221,tO heArt,PS,1999,AdvEnTuRe,aqua plus,0.0,0.0,0.13,0.01,0.14,,,,,,
9222,let's CHeEr,X360,2011,MISC,take-two interactive,0.12,0.0,0.0,0.01,0.14,,,,,,
9223,ROcKman & fORTe,SNES,1998,plATfOrm,capcom,0.0,0.0,0.14,0.0,0.14,,,,,,
9224,DoUKYuUsei,TG16,1995,AdVeNtUre,nec,0.0,0.0,0.14,0.0,0.14,,,,,,
9225,DEAd IsLAnd DeFInItIVe CollEctIOn,PS4,2016,ActION,deep silver,0.03,0.07,0.01,0.02,0.14,63.0,32.0,6.4,45.0,Techland,M
9226,DRAGOn AGE: OrIgINS - UlTimATE eDITiON,PC,2010,role-PLaYInG,electronic arts,0.0,0.12,0.0,0.02,0.14,,,,,,
9227,mySiMS CollEcTiON,Wii,2010,miSC,electronic arts,0.13,0.0,0.0,0.01,0.14,,,tbd,,Full Fat,E
9228,MASTEr jIN jIN's iq CHalLENGe,DS,2006,MIsC,505 games,0.13,0.0,0.0,0.01,0.14,38.0,4.0,tbd,,Astroll,E
9229,BLAzInG anGeLs 2: sECreT mISSiOnS OF WwiI,X360,2007,sImUlAtIOn,ubisoft,0.11,0.02,0.0,0.01,0.14,72.0,24.0,7.8,12.0,Ubisoft Romania,T
9230,The hisTORY CHaNNeL: CiVIL WaR - A NatION divIdEd,X360,2006,ShoOTEr,activision,0.13,0.0,0.0,0.01,0.14,,,,,,
9231,RAyMAN areNA,GC,2002,RAcING,ubisoft,0.11,0.03,0.0,0.0,0.14,60.0,10.0,7.2,6.0,Ubisoft,E
9232,fIfa 06 SOccER,GC,2005,sPOrTS,electronic arts,0.11,0.03,0.0,0.0,0.14,,,,,,
9233,dmc: deVIl May CrY,XOne,2015,ACTiON,capcom,0.08,0.04,0.0,0.01,0.14,,,,,,
9234,how to trAIN your dragon,X360,2010,AcTIon,activision,0.11,0.02,0.0,0.01,0.14,58.0,23.0,7.6,10.0,Etranges Libellules,E10+
9235,fArmInG SIMULAToR 2012,3DS,2012,aCTion,excalibur publishing,0.0,0.12,0.0,0.01,0.14,,,,,,
9236,4X4 EVO 2,GC,2002,RacinG,vivendi games,0.11,0.03,0.0,0.0,0.14,56.0,7.0,tbd,,Terminal Reality,E
9237,PRo yAkyuU NeTSu STAr 2006,PS2,2006,sportS,namco bandai games,0.0,0.0,0.14,0.0,0.14,,,,,,
9238,battleFIeLD: HarDLiNE,PC,2015,shOOtER,electronic arts,0.0,0.13,0.0,0.01,0.14,71.0,31.0,3.8,773.0,Visceral Games,M
9239,cybEr SLED,PS,1995,AcTion,sony computer entertainment,0.0,0.0,0.13,0.01,0.14,,,,,,
9240,PuYO PUyo!! 20TH ANnIVersary,DS,2011,pUzZLe,sega,0.0,0.0,0.14,0.0,0.14,,,,,,
9241,SHInINg soul,GBA,2002,roLe-pLayInG,atari,0.03,0.01,0.09,0.0,0.14,58.0,13.0,8.5,8.0,Next Entertainment,E
9242,bRotHers: a TAle OF tWo SONS,PS4,2015,ADvEnture,505 games,0.03,0.08,0.0,0.02,0.14,81.0,10.0,8.6,73.0,Starbreeze,T
9243,mOnster Lab,DS,2008,role-PlAYInG,eidos interactive,0.12,0.01,0.0,0.01,0.14,75.0,8.0,tbd,,Backbone Entertainment,E10+
9244,iN tHE HuNt,PS,1995,shOOTeR,thq,0.03,0.02,0.07,0.01,0.14,,,,,,
9245,daYtOna usa cHAMPIonshIP cIrcUIt EDItIon,SAT,1995,RAcinG,sega,0.0,0.0,0.14,0.0,0.14,,,,,,
9246,maRVEL Vs. cAPCom 2: NEW agE Of hEROeS,XB,2002,fIGhtiNG,capcom,0.09,0.03,0.01,0.0,0.14,,,,,,
9247,snK vS. CaPCom: tHE MATCh Of tHe MIllenniuM,PS2,2006,figHtinG,sega,0.0,0.02,0.0,0.12,0.14,,,,,,
9248,dEaD RISing 2,PC,2010,ActiOn,capcom,0.1,0.02,0.0,0.01,0.14,78.0,17.0,6.3,211.0,Blue Castle Games,M
9249,paWS & cLAwS: peT Vet 2,DS,2007,sIMulaTIon,thq,0.13,0.0,0.0,0.01,0.14,,,,,,
9250,ape EScAPE acaDEmy (jP SaLes),PSP,2004,MIsc,sony computer entertainment,0.0,0.0,0.13,0.0,0.14,,,,,,
9251,fEaR faCtoR: UnLEaSHEd,GBA,2004,AcTiOn,hip interactive,0.1,0.04,0.0,0.0,0.14,30.0,15.0,3,4.0,DC Studios,T
9252,hArD ROcK casINO,PSP,2007,MiSC,oxygen interactive,0.12,0.0,0.0,0.01,0.14,44.0,8.0,tbd,,Farsight Studios,T
9253,robOTS,DS,2005,ACTIoN,vivendi games,0.12,0.0,0.0,0.01,0.14,,,6.7,6.0,Griptonite Games,E
9254,HouSHinEngI,PS,1998,stratEGY,tecmo koei,0.0,0.0,0.13,0.01,0.14,,,,,,
9255,7th draGoN,DS,2009,ROLe-pLaYING,sega,0.0,0.0,0.14,0.0,0.14,,,,,,
9256,Bust-a-mOVE dELUXE,PSP,2006,pUZZLE,505 games,0.13,0.0,0.0,0.01,0.14,67.0,7.0,tbd,,Taito Corporation,E
9257,MurdeRed: SOUL susPECt,PS3,2014,acTIoN,square enix,0.05,0.05,0.02,0.02,0.14,,,7.1,55.0,Airtight Games,M
9258,pET PAls: ANIMAL DOCTOr,Wii,2008,SimuLATioN,jowood productions,0.13,0.0,0.0,0.01,0.14,,,tbd,,Legacy Interactive,E10+
9259,LeGo iSLaNd XTreme STunts,GBA,2002,racing,lego media,0.1,0.04,0.0,0.0,0.14,,,,,,
9260,SHInInG rESoNAnce,PS3,2014,ROle-plAyING,sega,0.0,0.0,0.14,0.0,0.14,,,,,,
9261,hErOES Over EuROpe,X360,2009,sIMuLAtIoN,ubisoft,0.1,0.02,0.0,0.01,0.14,62.0,39.0,8.1,9.0,Transmission Games,T
9262,aLvin AnD THe CHIpMunKS,DS,2007,misC,brash entertainment,0.12,0.0,0.0,0.01,0.14,,,tbd,,Sensory Sweep,E
9263,CrEAtE,X360,2010,actIOn,electronic arts,0.1,0.03,0.0,0.01,0.14,60.0,19.0,5.8,10.0,EA Bright Light,E
9264,wORLD SoCCer wiNNInG elEven 9 BonUs pACk,PS2,2006,SpoRtS,konami digital entertainment,0.0,0.0,0.14,0.0,0.14,,,,,,
9265,uEFa EuRO 2004: portUGAL,PS2,2004,SpoRTs,electronic arts,0.07,0.05,0.0,0.02,0.14,76.0,21.0,6.4,18.0,EA Canada,E
9266,HAPpy feET,Wii,2006,AcTion,midway games,0.12,0.0,0.0,0.01,0.14,46.0,11.0,6.7,16.0,Artificial Mind and Movement,E
9267,hOT WhEElS: woRLd raCe,GBA,2003,RACInG,thq,0.1,0.04,0.0,0.0,0.14,,,6.2,5.0,THQ,E
9268,mAJOr LEaguE BasebalL 2K8,Wii,2008,SPorts,take-two interactive,0.13,0.0,0.0,0.01,0.14,,,,,,
9269,LIpS: i LOVe THe 80s,X360,2010,MiSC,microsoft game studios,0.0,0.12,0.0,0.02,0.14,,,,,,
9270,NBa Jam,XB,2003,sPORtS,acclaim entertainment,0.1,0.03,0.0,0.0,0.14,68.0,17.0,9.1,7.0,Acclaim,E
9271,WoRlD TOUr socCeR 2002,PS2,2001,SpORtS,sony computer entertainment,0.07,0.05,0.0,0.02,0.14,77.0,21.0,7.5,10.0,SCEE London Studio,E
9272,nbA bALleRS: cHosEn oNE,PS3,2008,spoRts,midway games,0.12,0.0,0.0,0.01,0.14,54.0,23.0,6.5,4.0,Midway,E
9273,nicKToONS: mLB,Wii,2011,SporTs,take-two interactive,0.13,0.0,0.0,0.01,0.14,,,tbd,,High Voltage Software,E
9274,NcIs,X360,2011,ADVeNtURE,ubisoft,0.1,0.02,0.0,0.01,0.14,35.0,11.0,4.7,7.0,Ubisoft,T
9275,travel gAmeS FoR dumMies,DS,2008,mIsC,electronic arts,0.12,0.0,0.0,0.01,0.14,62.0,5.0,tbd,,Electronic Arts,E
9276,iNtEraCTive SaMpLer DIsc 6,PS,1997,mIsC,sony computer entertainment,0.08,0.05,0.0,0.01,0.14,,,,,,
9277,sHinObido 2: taLes OF tHe Ninja,PSV,2011,ACTION,sony computer entertainment,0.04,0.05,0.02,0.02,0.14,,,,,,
9278,APEx,XB,2003,RAcIng,atari,0.1,0.03,0.0,0.0,0.14,74.0,26.0,9.1,7.0,Milestone S.r.l,E
9279,KaMeN rider baTTLE: GANbARIDE,DS,2010,stRATEgy,namco bandai games,0.0,0.0,0.14,0.0,0.14,,,,,,
9280,pERSona 4: AreNa uLtImAX,PS3,2014,fiGhTINg,atlus,0.0,0.0,0.13,0.0,0.14,84.0,38.0,8.1,85.0,Arc System Works,T
9281,tomb raiDEr: ThE prophECy,GBA,2002,Action,ubisoft,0.1,0.04,0.0,0.0,0.14,66.0,20.0,8.8,13.0,Ubisoft Milan,T
9282,VAmpIrE nIGHt,PS2,2001,ShooTeR,sony computer entertainment,0.07,0.05,0.0,0.02,0.14,65.0,18.0,8,5.0,Wow Entertainment,T
9283,vaLhAllA kNiGHTS: eLdaR Saga,Wii,2009,ROle-plaYING,rising star games,0.1,0.01,0.01,0.01,0.14,35.0,17.0,6.7,19.0,"K2, Kurogane",T
9284,guiltY GEAr,PS,1998,fIGHTINg,virgin interactive,0.03,0.02,0.07,0.01,0.14,,,,,,
9285,rIO,PS3,2011,mISC,thq,0.04,0.07,0.0,0.02,0.14,65.0,8.0,tbd,,Eurocom Entertainment Software,E10+
9286,sCEnE iT? brIght lIghTS! BIg ScReen!,X360,2009,miSc,warner bros. interactive entertainment,0.12,0.0,0.0,0.01,0.14,,,,,,
9287,WorLD CHamPiONShiP pokER 2: feAtuRINg HowaRd lEdERER,PSP,2005,mISc,505 games,0.12,0.0,0.0,0.01,0.14,65.0,17.0,2.8,17.0,Crave,T
9288,BIT.TrIP SAGA,3DS,2011,MIsC,rising star games,0.09,0.04,0.0,0.01,0.14,75.0,21.0,7.8,24.0,Gaijin Games,E
9289,marY-KAtE AND asHlEy: cRUsh CoUrSe,PS,2001,aCTIoN,acclaim entertainment,0.08,0.05,0.0,0.01,0.14,,,,,,
9290,NhL BrEAkaWAy 98,PS,1996,spoRTS,acclaim entertainment,0.08,0.05,0.0,0.01,0.14,,,,,,
9291,WhERE tHe wIld THiNgS aRe,DS,2009,pLaTFoRM,warner bros. interactive entertainment,0.12,0.0,0.0,0.01,0.14,,,tbd,,WayForward,E
9292,MEtal sLUG 7,DS,2008,sHoOTer,ignition entertainment,0.12,0.0,0.01,0.01,0.14,70.0,38.0,7.4,13.0,SNK Playmore,T
9293,CAlL Of duTY: InFINiTE WarFare,PC,2016,shOOter,activision,0.04,0.08,0.0,0.01,0.14,73.0,16.0,3,440.0,Infinity Ward,M
9294,disNEy's ciNDErElLA: maGIcal dreaMs,GBA,,plaTForM,disney interactive studios,0.1,0.04,0.0,0.0,0.14,69.0,7.0,tbd,,Culture Brain,E
9295,mOTOgP '06,X360,2006,RACInG,thq,0.11,0.01,0.0,0.01,0.14,80.0,50.0,7.7,13.0,"Climax Group, Climax Studios",E
9296,tIger WoOds PGA tOUR 2005,GC,2004,sporTs,electronic arts,0.1,0.03,0.0,0.0,0.14,88.0,18.0,tbd,,EA Sports,E
9297,G.I. JOe: thE RiSe of coBra,DS,2009,ACtion,electronic arts,0.11,0.01,0.0,0.01,0.14,47.0,16.0,7.5,4.0,Backbone Entertainment,E10+
9298,spIDER-Man: EDge oF TiME,DS,2011,ActIoN,activision,0.12,0.01,0.0,0.01,0.14,50.0,6.0,tbd,,"Beenox, Other Ocean Interactive",E10+
9299,GoURMEt chEf: COok YoUR way TO FAmE,DS,2008,MiSC,ubisoft,0.13,0.0,0.0,0.01,0.14,,,tbd,,Ubisoft,E
9300,fAShiOn STuDIo: pARIs CoLlEctIoN,DS,2009,mIsC,ubisoft,0.13,0.0,0.0,0.01,0.14,,,tbd,,Ubisoft,E
9301,SAlt Lake 2002,PS2,2002,SPORts,eidos interactive,0.07,0.05,0.0,0.02,0.14,49.0,11.0,3.5,6.0,Attention To Detail,E
9302,eSpN mlb BaSebaLL,XB,2004,SporTS,sega,0.1,0.03,0.0,0.0,0.14,,,,,,
9303,GlADiUS,XB,2003,sTRaTegy,activision,0.1,0.03,0.0,0.0,0.14,79.0,31.0,8.5,22.0,LucasArts,T
9304,legeNDs oF WRestLIng,XB,2002,FigHtINg,acclaim entertainment,0.1,0.03,0.0,0.0,0.14,65.0,10.0,5.8,4.0,Acclaim,T
9305,qUeeN'S gAtE: spiRAl chaoS,PSP,2011,rOlE-PlaYiNG,namco bandai games,0.0,0.0,0.14,0.0,0.14,,,,,,
9306,NAYuTA NO kIsEKI,PSP,2012,ACtIOn,nihon falcom corporation,0.0,0.0,0.14,0.0,0.14,,,,,,
9307,maGneTicA,DS,2006,PuzZle,nintendo,0.08,0.01,0.03,0.01,0.14,68.0,33.0,8.1,11.0,Mitchell,E
9308,red oRCHeStrA 2: hEroeS oF stalInGrAD,PC,2011,SHOoTer,tripwire interactive,0.04,0.07,0.0,0.02,0.14,76.0,49.0,7.3,729.0,Tripwire Interactive,M
9309,SpY hunTeR 2,XB,2003,RaCINg,midway games,0.1,0.03,0.0,0.0,0.13,57.0,22.0,tbd,,Midway,T
9310,OPen SEAsON,DS,2006,PlatfoRM,ubisoft,0.12,0.0,0.0,0.01,0.13,72.0,4.0,tbd,,Ubisoft Quebec,E
9311,avaTAr: the lASt airbeNDer - The BUrninG eARTh,X360,2007,aCTIoN,thq,0.11,0.01,0.0,0.01,0.13,,,,,,
9312,LegO the LORD of tHE ringS,DS,2012,AcTIon,warner bros. interactive entertainment,0.0,0.12,0.0,0.01,0.13,,,tbd,,TT Games,E10+
9313,bacKYArD Soccer,PS,2001,spORtS,infogrames,0.07,0.05,0.0,0.01,0.13,,,tbd,,Humongous Entertainment,E
9314,iMaGinE: faSHiOn styliSt,DS,2010,sIMUlaTioN,ubisoft,0.13,0.0,0.0,0.01,0.13,,,tbd,,Magic Pockets,E
9315,FiNaL fAnTAsY XI: RisE Of ThE Zilart,PS2,2003,role-PLayIng,square enix,0.0,0.0,0.13,0.0,0.13,,,,,,
9316,Your SHAPe: FITneSS evOLvED 2013,WiiU,2012,actIon,ubisoft,0.06,0.07,0.0,0.01,0.13,76.0,8.0,6.3,16.0,Blue Byte,E10+
9317,mOnsTER JaM,DS,2007,RaCiNg,activision,0.12,0.0,0.0,0.01,0.13,,,tbd,,Torus Games,E
9318,JAMes BOnD 007: nigHTfire,GBA,2003,shOOTER,electronic arts,0.1,0.04,0.0,0.0,0.13,66.0,6.0,8.1,9.0,JV Games Inc.,T
9319,let'S PLaY bALLERINA,DS,2010,spoRTS,deep silver,0.13,0.0,0.0,0.01,0.13,,,tbd,,,
9320,nObuNaGA No yaboU: TeNDOu,PS3,2010,STRAtEGy,tecmo koei,0.0,0.0,0.13,0.0,0.13,,,,,,
9321,BACK aT the BaRnyArD: SLop BUcket GamEs,DS,2008,spoRtS,thq,0.12,0.0,0.0,0.01,0.13,49.0,4.0,tbd,,THQ,E
9322,mEDAlOT 7,3DS,2012,ACTion,rocket company,0.0,0.0,0.13,0.0,0.13,,,,,,
9323,BIO fREaks,PS,1998,acTiON,gt interactive,0.07,0.05,0.0,0.01,0.13,,,,,,
9324,LittLE LeaGue WOrld SerIEs BASebAlL 2009,DS,2009,sporTS,activision,0.12,0.0,0.0,0.01,0.13,,,tbd,,Black Lantern Studios,E
9325,caStLevAnIa ChRoniCLeS,PS,2001,PlatforM,konami digital entertainment,0.07,0.05,0.0,0.01,0.13,69.0,16.0,7,13.0,Konami,T
9326,SuzumiYa haruhi no toMADoi,PS2,2008,ADvEnTurE,banpresto,0.0,0.0,0.13,0.0,0.13,,,,,,
9327,InterNATIoNal CRicKeT 2010,X360,2010,sPorts,codemasters,0.0,0.12,0.0,0.02,0.13,,,,,,
9328,GOlDeNeyE 007 (2010),DS,2010,aCtION,activision,0.1,0.03,0.0,0.01,0.13,,,,,,
9329,bRaTZ,GBA,2002,pLatFOrM,ubisoft,0.1,0.04,0.0,0.0,0.13,,,tbd,,DC Studios,E
9330,Pinball HAlL oF famE: tHE gotTlIeb COLLEctiON,Wii,2006,Misc,system 3 arcade software,0.12,0.0,0.0,0.01,0.13,,,tbd,,Farsight Studios,E
9331,kInG arThUR,PS2,2004,aCTion,konami digital entertainment,0.07,0.05,0.0,0.02,0.13,59.0,22.0,8,10.0,Krome Studios,T
9332,fifa sTReEt 2,PSP,2006,sporTS,electronic arts,0.07,0.05,0.0,0.02,0.13,58.0,6.0,6.9,17.0,EA Canada,E
9333,HIsshOU paCHiNKo*pAChI-sLOt kouRyAKu SeRIEs Vol. 1: cr SHINsEIki eVangeliOn,PS2,2005,mIsC,d3publisher,0.0,0.0,0.13,0.0,0.13,,,,,,
9334,THE GUY gAME,PS2,2004,mIsC,gathering of developers,0.07,0.05,0.0,0.02,0.13,48.0,20.0,6.7,13.0,Top Heavy Studios,M
9335,ruROUnI kENsHin: eNJoU! kYOtO riNNe,PS2,2006,ACtioN,banpresto,0.0,0.0,0.13,0.0,0.13,,,,,,
9336,bLaDe II,XB,2002,actION,activision,0.1,0.03,0.0,0.0,0.13,53.0,20.0,4,4.0,Mucky Foot Productions,M
9337,ROGUe WarRIOr,PS3,2009,SHootEr,bethesda softworks,0.11,0.01,0.0,0.01,0.13,27.0,24.0,2.8,66.0,Rebellion,M
9338,sUIKodEN: TsUmugAreSHi hyaKunen No TOKI,PSP,2012,roLE-plAyinG,konami digital entertainment,0.0,0.0,0.13,0.0,0.13,,,,,,
9339,BasEbALl ADvaNCe,GBA,2002,sPORtS,sega,0.1,0.04,0.0,0.0,0.13,80.0,16.0,7.8,5.0,Smilebit,E
9340,nICktOoNS: MLb,X360,2011,SPOrts,take-two interactive,0.12,0.0,0.0,0.01,0.13,,,7.6,7.0,High Voltage Software,E
9341,shoNen jump'S One PiECe: GranD baTTlE,PS2,2005,FIGhTiNG,atari,0.07,0.05,0.0,0.02,0.13,,,,,,
9342,lEArn MATh,DS,2009,PuzZle,dreamcatcher interactive,0.12,0.0,0.0,0.01,0.13,,,tbd,,Dreamcatcher,E
9343,nITrObikE,Wii,2008,raCinG,ubisoft,0.11,0.01,0.0,0.01,0.13,49.0,22.0,7.1,7.0,Left Field Productions,E10+
9344,CRUisE SHiP VAcAtIOn gAmes,Wii,2009,PUZzLe,avanquest,0.12,0.0,0.0,0.01,0.13,,,tbd,,Activision,E
9345,pRo YaKy? SPIrITs 6,PS2,2009,SpOrTs,konami digital entertainment,0.0,0.0,0.13,0.0,0.13,,,,,,
9346,paPerboY / rAMPAGe,GBA,2005,miSC,zoo digital publishing,0.1,0.04,0.0,0.0,0.13,,,tbd,,DSI Games,E
9347,sHiREN the WaNdErer 4 - GOd'S EYE aNd the demon'S naVeL,DS,2010,RoLE-pLayinG,spike,0.0,0.0,0.13,0.0,0.13,,,,,,
9348,VAMPiRE moOn: ThE MySTERY OF THE HIDDEN SuN,DS,2010,AdVEntURe,city interactive,0.12,0.01,0.0,0.01,0.13,50.0,8.0,tbd,,City Interactive,E
9349,SeNtOU kOKKA AiR lAND battle,PS,1995,StRATegY,sony computer entertainment,0.0,0.0,0.13,0.01,0.13,,,,,,
9350,qUICk yOga tRaiNiNg,DS,2008,MIsC,ubisoft,0.12,0.0,0.0,0.01,0.13,,,tbd,,"Ubisoft, Moss",E
9351,AttacK ON TiTAn (KoEi),PSV,2016,ActION,tecmo koei,0.0,0.0,0.13,0.0,0.13,,,,,,
9352,NtRa BReEdErs' CUP WoRLd THoroUgHbREd CHAMPiONShIPS,PS2,2005,simuLatIoN,bethesda softworks,0.07,0.05,0.0,0.02,0.13,,,,,,
9353,HUlK HoGAn's MAIN eVENt,X360,2011,FIghtInG,505 games,0.1,0.02,0.0,0.01,0.13,26.0,4.0,2.2,20.0,Panic Button,T
9354,TaK 2: tHE stAFf Of dREAmS,XB,2004,PlaTFORM,thq,0.1,0.03,0.0,0.0,0.13,73.0,25.0,tbd,,Avalanche Software,E
9355,DEsTroy aLl HumaNs! big Willy unLEASHed,Wii,2008,action,thq,0.12,0.0,0.0,0.01,0.13,,,,,,
9356,rEtRO aTAri CLassIcS,DS,2005,mISc,atari,0.12,0.0,0.0,0.01,0.13,51.0,17.0,3.7,7.0,Taniko,E
9357,iMagINe: FashIoN DesigNER,3DS,2011,SIMULAtioN,ubisoft,0.1,0.02,0.0,0.01,0.13,,,tbd,,Ubisoft Sofia,E
9358,NEED for speeD unDERgrOund 2,DS,2005,RAciNg,electronic arts,0.11,0.02,0.0,0.01,0.13,65.0,13.0,7,25.0,EA Canada,E
9359,MY SpAnish cOAch,PSP,2008,MiSc,ubisoft,0.12,0.0,0.0,0.01,0.13,,,tbd,,Ubisoft,E
9360,YS: ThE Ark of nApisHtIM,PS2,2005,ROLE-PlaYInG,konami digital entertainment,0.07,0.05,0.0,0.02,0.13,72.0,35.0,8.8,14.0,Falcom,T
9361,draGOn QUeST hEROeS ii: twIn KINGS And tHe PrOPHeCy'S end,PS3,2016,ACtIoN,square enix,0.0,0.0,0.13,0.0,0.13,,,,,,
9362,DragON AGE orIgins: AwAKeNIng,PC,2010,rOLe-PLAyIng,electronic arts,0.01,0.1,0.0,0.02,0.13,,,,,,
9363,AZUrE DREaMs,PS,1997,roLE-PLayINg,konami digital entertainment,0.07,0.05,0.0,0.01,0.13,,,,,,
9364,DIVINIty iI: tHE draGoN KniGHt SagA,X360,2010,RoLE-pLayIng,focus home interactive,0.11,0.02,0.0,0.01,0.13,72.0,13.0,7.8,50.0,Larian Studios,M
9365,sINgStAr LatIno,PS2,2007,MISc,sony computer entertainment,0.07,0.05,0.0,0.02,0.13,,,tbd,,SCEE London Studio,T
9366,KUng fU PAnDA 2,Wii,2011,acTIon,thq,0.07,0.05,0.0,0.01,0.13,,,,,,
9367,NHL 2K8,X360,2007,sPOrts,take-two interactive,0.11,0.01,0.0,0.01,0.13,71.0,43.0,7.4,16.0,Kush Games,E10+
9368,pRO BasEbaLl spIRiTS 2015,PSV,2015,acTIOn,konami digital entertainment,0.0,0.0,0.13,0.0,0.13,,,,,,
9369,HaUnTeD House,Wii,2010,aCtiOn,atari,0.12,0.0,0.0,0.01,0.13,41.0,6.0,tbd,,"Atari, Atari SA",E10+
9370,TOp SpIn 3,DS,2008,ACTIoN,d3publisher,0.11,0.02,0.0,0.01,0.13,65.0,12.0,tbd,,"Pam Development, 2K Sports",E
9371,syBErIa,DS,2008,AcTiOn,mindscape,0.1,0.02,0.0,0.01,0.13,52.0,10.0,tbd,,"Microids, Dreamcatcher",T
9372,kuRt WarNEr'S ArenA fOotbaLl UnLEaSHED,PS,2000,SPOrtS,midway games,0.07,0.05,0.0,0.01,0.13,,,,,,
9373,PUZzLE kInGdOMS,DS,2009,puzZlE,zoo digital publishing,0.12,0.0,0.0,0.01,0.13,64.0,12.0,6.3,4.0,Infinite Interactive,E10+
9374,hYperDImEnsioN nEpTunia,PSV,2013,role-plaYInG,compile heart,0.05,0.0,0.07,0.01,0.13,,,,,,
9375,lIfe iS stRaNge,XOne,2016,aDVEntUrE,square enix,0.09,0.03,0.0,0.01,0.13,85.0,4.0,8.7,123.0,DONTNOD Entertainment,M
9376,sUITe PrEcUrE: MeLoDY coLLecTIoN,DS,2011,Misc,namco bandai games,0.0,0.0,0.13,0.0,0.13,,,,,,
9377,NHL 2k9,PS2,2008,SpORTs,take-two interactive,0.07,0.05,0.0,0.02,0.13,,,6.7,7.0,Visual Concepts,E10+
9378,shIN meGamI TenSeI: DEviL sUMmONER 2 - RAIDoU kuzUnohA vs. KIng ABaddON,PS2,2008,rOLe-PlaYINg,atlus,0.07,0.05,0.0,0.02,0.13,79.0,23.0,8.7,26.0,Atlus Co.,M
9379,rOguE OPS,XB,2003,acTion,kemco,0.1,0.03,0.0,0.0,0.13,63.0,24.0,tbd,,Bits Studios,M
9380,Nba HoopZ,PS,2001,sPoRtS,midway games,0.07,0.05,0.0,0.01,0.13,,,tbd,,Eurocom Entertainment Software,E
9381,TRanSwOrld SUrF,XB,,sPOrtS,atari,0.1,0.03,0.0,0.0,0.13,76.0,25.0,tbd,,Rockstar San Diego,T
9382,hISTORY CiVIL wAr: sECreT MiSSIonS,X360,2008,shOoTer,activision,0.12,0.0,0.0,0.01,0.13,,,,,,
9383,MlB 11: THE sHow,PS2,2011,spOrtS,sony computer entertainment,0.06,0.05,0.0,0.02,0.13,,,6.2,6.0,SCEA San Diego Studios,E
9384,CastroL hONDa suPeRbIke RACing,PS,1998,rACInG,thq,0.07,0.05,0.0,0.01,0.13,,,,,,
9385,X-BlaDeS,PS3,2009,AcTIOn,southpeak games,0.07,0.03,0.02,0.01,0.13,50.0,31.0,5.9,15.0,Gaijin Entertainment,M
9386,TeeNagE MutAnt nINJa tuRTlEs: DANger OF thE oozE,3DS,2014,aDventuRe,activision,0.08,0.04,0.0,0.01,0.13,,,tbd,,WayForward,E10+
9387,aRMY meN: GREeN rOGue,PS2,2001,aCtioN,3do,0.06,0.05,0.0,0.02,0.13,39.0,13.0,3.8,4.0,3DO,T
9388,CHESSmAsTER,XB,2004,MISc,ubisoft,0.1,0.03,0.0,0.0,0.13,79.0,12.0,9,6.0,Ubisoft,E
9389,bRain assist,DS,2007,MIsC,sega,0.12,0.0,0.0,0.01,0.13,53.0,17.0,tbd,,Sega,E
9390,fReddI FIsH: Abc Under the SeA,DS,2008,MiSc,atari,0.12,0.0,0.0,0.01,0.13,,,,,,
9391,ADVeNTuReS To GO!,PSP,2008,ROLE-plAyIng,zushi games,0.11,0.0,0.01,0.02,0.13,,,,,,
9392,moNsTER rAnchER ds,DS,2008,Role-pLAyinG,tecmo koei,0.08,0.0,0.05,0.01,0.13,58.0,4.0,tbd,,Cing,E
9393,petER JaCKsoN's KInG koNG: THe offICial game oF THe moviE,DS,2005,ActION,ubisoft,0.12,0.0,0.0,0.01,0.13,28.0,5.0,3.2,32.0,Ubisoft Casablanca,T
9394,suPeRMAN: ThE MaN Of sTEel,XB,2002,AcTION,atari,0.1,0.03,0.0,0.0,0.13,44.0,19.0,6,11.0,Circus Freak,T
9395,kOroRInpA: maRble MaNia,Wii,2006,PUZzlE,nintendo,0.08,0.02,0.03,0.01,0.13,69.0,39.0,8.7,21.0,Hudson,E
9396,keN tO mAHOU to gaKuEN MONo. 3,PSP,2010,ROLe-PLAYinG,acquire,0.0,0.0,0.13,0.0,0.13,,,,,,
